created_at,ph_solo,umidade_solo,nitrogenio,fosforo,potassio,status_bomba,temperatura,sensacao_termica,umidade_ar
2025-11-06 08:00:00,6.82,65.5,11,85,88,0,25.3,24.6,65.0
2025-11-06 08:05:00,6.78,61.8,11,87,92,0,24.8,25.5,64.0
2025-11-06 08:10:00,6.82,64.4,13,84,90,0,25.0,24.3,65.0
2025-11-06 08:15:00,6.85,62.8,13,83,92,0,26.0,26.2,64.0
2025-11-06 08:20:00,6.75,61.9,12,81,85,0,25.9,25.9,64.0
2025-11-06 08:25:00,6.75,63.3,13,85,92,0,26.6,25.9,65.0
2025-11-06 08:30:00,6.83,63.4,11,85,88,0,26.7,28.8,65.0
2025-11-06 08:35:00,6.78,62.7,12,80,85,0,26.6,27.2,62.0
2025-11-06 08:40:00,6.71,59.5,11,88,92,0,26.3,24.3,65.0
2025-11-06 08:45:00,6.75,59.7,11,85,88,0,26.1,26.3,60.0
2025-11-06 08:50:00,6.69,60.5,13,82,90,0,26.7,26.0,61.0
2025-11-06 08:55:00,6.68,75.6,12,83,92,0,27.4,28.3,61.0
2025-11-06 09:00:00,6.71,57.9,13,83,88,0,27.1,26.3,60.0
2025-11-06 09:05:00,6.59,57.8,13,82,87,0,26.3,26.2,59.0
2025-11-06 09:10:00,6.59,55.9,12,89,93,0,27.0,27.5,58.0
2025-11-06 09:15:00,6.64,55.2,11,82,87,0,27.0,27.9,57.0
2025-11-06 09:20:00,6.61,57.7,11,82,93,0,26.2,25.0,57.0
2025-11-06 09:25:00,6.67,58.0,12,83,86,0,26.6,26.3,58.0
2025-11-06 09:30:00,6.6,55.3,11,86,86,0,26.4,25.9,57.0
2025-11-06 09:35:00,6.57,56.4,12,83,86,0,25.6,24.9,55.0
2025-11-06 09:40:00,6.7,54.9,12,88,90,0,26.1,27.9,56.0
2025-11-06 09:45:00,6.61,52.9,13,80,87,0,25.9,26.3,56.0
2025-11-06 09:50:00,6.62,53.8,12,87,93,0,25.9,24.6,56.0
2025-11-06 09:55:00,6.53,55.1,13,86,88,0,25.7,26.6,56.0
2025-11-06 10:00:00,6.57,52.2,11,81,85,0,24.2,26.3,54.0
2025-11-06 10:05:00,6.59,62.3,11,87,88,0,24.1,25.1,55.0
2025-11-06 10:10:00,6.52,62.2,11,80,85,0,24.6,23.1,56.0
2025-11-06 10:15:00,6.59,51.9,11,88,89,0,24.4,23.9,56.0
2025-11-06 10:20:00,6.53,50.2,13,88,88,0,24.1,25.4,56.0
2025-11-06 10:25:00,6.54,49.1,11,81,92,1,25.6,24.9,56.0
2025-11-06 10:30:00,6.51,69.2,12,86,92,1,23.8,24.2,58.0
2025-11-06 10:35:00,6.63,65.5,12,89,91,1,23.9,24.7,57.0
2025-11-06 10:40:00,6.53,67.6,12,82,87,1,23.7,22.8,58.0
2025-11-06 10:45:00,6.47,68.0,13,86,85,1,23.4,23.3,58.0
2025-11-06 10:50:00,6.55,69.1,11,89,85,1,22.9,19.7,59.0
2025-11-06 10:55:00,6.44,65.6,11,88,87,1,23.4,22.4,61.0
2025-11-06 11:00:00,6.5,64.6,11,83,90,1,22.6,22.3,61.0
2025-11-06 11:05:00,6.39,64.6,13,80,91,1,22.9,21.7,62.0
2025-11-06 11:10:00,6.41,46.2,12,81,90,1,22.9,24.5,63.0
2025-11-06 11:15:00,6.48,64.7,12,80,90,1,23.3,21.9,62.0
2025-11-06 11:20:00,6.5,79.2,11,84,90,1,24.5,24.1,64.0
2025-11-06 11:25:00,6.46,59.0,12,84,87,0,22.6,22.7,63.0
2025-11-06 11:30:00,6.44,42.8,12,86,90,1,24.1,25.5,64.0
2025-11-06 11:35:00,6.42,63.6,13,88,92,1,23.2,21.8,64.0
2025-11-06 11:40:00,6.35,60.5,13,88,86,1,24.0,25.2,65.0
2025-11-06 11:45:00,6.38,40.6,13,82,89,0,25.0,25.0,65.0
2025-11-06 11:50:00,6.39,39.9,13,82,85,0,24.8,23.8,64.0
2025-11-06 11:55:00,6.45,37.8,11,82,85,1,24.5,25.0,67.0
