
tempo_ms,ph,umidade,N,P,K,bomba

12041,3.42,8.5,0,0,0,0
12143,3.42,8.5,0,0,0,0
12244,3.42,8.5,0,0,0,0
12345,3.42,8.5,0,0,0,0
12446,3.42,8.5,0,0,0,0
12547,3.42,8.5,0,0,0,0
12648,3.42,8.5,0,0,0,0
12749,3.42,8.5,0,0,0,0
12850,3.42,8.5,0,0,0,0
12951,3.42,8.5,0,0,0,0
13052,3.42,8.5,0,0,0,0
13153,3.42,8.5,0,0,0,0
13254,3.42,8.5,0,0,0,0
13355,3.42,8.5,0,0,0,0
13456,3.42,8.5,0,0,0,0
13557,3.42,8.5,0,0,0,0
13658,3.42,8.5,0,0,0,0
13759,3.42,8.5,0,0,0,0
13866,3.42,8.5,0,0,0,0
13967,3.42,8.5,0,0,0,0
14068,3.42,8.5,0,0,0,0
14169,3.42,8.5,0,0,0,0
14270,3.42,8.5,0,0,0,0
14371,3.42,8.5,0,0,0,0
14472,3.42,8.5,0,0,0,0
14573,3.42,8.5,0,0,0,0
14674,3.42,8.5,0,0,0,0
14775,3.42,8.5,0,0,0,0
14876,3.42,8.5,0,0,0,0
14977,3.42,8.5,0,0,0,0
15078,3.42,8.5,0,0,0,0
15179,3.42,8.5,0,0,0,0
15280,3.42,8.5,0,0,0,0
15381,3.42,8.5,0,0,0,0
15482,3.42,8.5,0,0,0,0
15583,3.42,8.5,0,0,0,0
15684,3.42,8.5,0,0,0,0
15785,3.42,8.5,0,0,0,0
15892,3.42,8.5,0,0,0,0
15993,3.42,8.5,0,0,0,0
16094,3.42,8.5,0,0,0,0
16195,3.42,8.5,0,0,0,0
16296,3.42,8.5,0,0,0,0
16397,3.42,8.5,0,0,0,0
16498,3.42,8.5,0,0,0,0
16599,3.42,8.5,0,0,0,0
16700,3.42,8.5,0,0,0,0
16800,3.42,8.5,0,0,0,0
16900,3.42,8.5,0,0,0,0
17000,3.42,8.5,0,0,0,0
17100,3.42,8.5,0,0,0,0
17200,3.42,8.5,0,0,0,0
17300,3.42,8.5,0,0,0,0
17400,3.42,8.5,0,0,0,0
17500,3.42,8.5,0,0,0,0
17600,3.42,8.5,0,0,0,0
17700,3.42,8.5,0,0,0,0
17800,3.42,8.5,0,0,0,0
17906,3.42,8.5,0,0,0,0
18007,3.42,8.5,0,0,0,0
18108,3.42,8.5,0,0,0,0
18209,3.42,8.5,0,0,0,0
18310,3.42,8.5,0,0,0,0
18411,3.42,8.5,0,0,0,0
18512,3.42,8.5,0,0,0,0
18613,3.42,8.5,0,0,0,0
18714,3.42,8.5,0,0,0,0
19049,3.42,8.5,13,0,0,0
19150,3.42,8.5,13,0,0,0
19251,3.42,8.5,13,0,0,0
19352,3.42,8.5,13,0,0,0
19453,3.42,8.5,13,0,0,0
19554,3.42,8.5,13,0,0,0
19655,3.42,8.5,13,0,0,0
19756,3.42,8.5,13,0,0,0
19857,3.42,8.5,13,0,0,0
19964,3.42,8.5,13,0,0,0
20065,3.42,8.5,13,0,0,0
20166,3.42,8.5,13,0,0,0
20267,3.42,8.5,13,0,0,0
20368,3.42,8.5,13,0,0,0
20704,3.42,8.5,11,0,0,0
20805,3.42,8.5,11,0,0,0
20906,3.42,8.5,11,0,0,0
21007,3.42,8.5,11,0,0,0
21108,3.42,8.5,11,0,0,0
21209,3.42,8.5,11,0,0,0
21310,3.42,8.5,11,0,0,0
21411,3.42,8.5,11,0,0,0
21512,3.42,8.5,11,0,0,0
21613,3.42,8.5,11,0,0,0
21714,3.42,8.5,11,0,0,0
22047,3.42,8.5,9,0,0,0
22154,3.42,8.5,9,0,0,0
22255,3.42,8.5,9,0,0,0
22591,3.42,8.5,11,0,0,0
22692,3.42,8.5,11,0,0,0
22793,3.42,8.5,11,0,0,0
