senioridade,idade,horas_trabalho,pct_reunioes,interacoes_noturnas,periodo_sem_ferias,score_satisfacao,burnout_label
Junior,25,48,0.44,5,12,5,0
Junior,20,41,0.48,2,7,4,0
Senior,31,47,0.24,7,26,5,0
Junior,36,47,0.53,3,14,3,0
Junior,31,44,0.27,1,7,3,0
Pleno,30,43,0.1,5,36,1,0
Pleno,39,42,0.35,4,3,4,0
Junior,29,45,0.22,4,2,5,0
Junior,26,41,0.34,5,14,3,0
Pleno,33,49,0.53,6,7,3,1
Pleno,35,52,0.32,7,6,2,1
Junior,30,40,0.25,4,2,5,0
Pleno,33,43,0.31,7,13,3,0
Senior,27,50,0.28,2,4,2,0
Senior,27,46,0.12,2,5,4,0
Pleno,25,52,0.49,3,1,4,0
Senior,33,48,0.45,9,11,5,1
Pleno,20,48,0.57,3,9,5,0
Pleno,27,50,0.47,5,4,5,0
Junior,21,42,0.53,4,2,2,0
Pleno,31,35,0.11,2,7,1,0
Pleno,31,45,0.32,4,4,5,0
Pleno,27,41,0.31,1,7,1,0
Pleno,26,45,0.13,10,8,5,0
Senior,21,54,0.32,12,18,3,1
Pleno,32,40,0.53,2,31,4,0
Junior,33,48,0.21,4,6,2,0
Junior,25,45,0.59,9,15,2,1
Junior,20,39,0.51,3,22,5,0
Junior,36,42,0.45,3,14,4,0
Senior,27,46,0.27,5,14,5,0
Junior,31,39,0.37,7,0,3,0
Junior,31,46,0.34,7,6,2,1
Pleno,28,43,0.51,4,20,5,0
Pleno,29,40,0.13,5,30,5,0
Pleno,41,42,0.55,4,4,2,0
Junior,27,46,0.58,9,6,1,1
Pleno,26,57,0.39,6,5,3,1
Junior,24,40,0.58,3,4,5,0
Pleno,32,52,0.49,2,2,4,0
Senior,39,47,0.45,8,10,2,1
Pleno,31,38,0.15,4,6,3,0
Senior,35,48,0.34,2,6,2,0
Pleno,26,45,0.23,7,12,4,0
Pleno,28,41,0.51,1,1,5,0
Junior,37,47,0.21,7,16,3,0
Junior,28,39,0.11,8,9,5,0
Junior,30,42,0.54,3,0,3,0
Junior,24,38,0.42,4,27,1,0
Pleno,37,40,0.27,6,4,5,0
Pleno,34,48,0.24,5,10,2,0
Senior,34,45,0.41,1,2,4,0
Pleno,32,46,0.57,5,16,3,1
Pleno,28,39,0.11,4,2,3,0
Junior,20,40,0.52,15,11,2,1
Senior,23,46,0.26,5,9,3,0
Pleno,23,39,0.16,4,3,1,0
Pleno,40,39,0.32,2,1,1,0
Junior,31,38,0.24,2,30,3,0
Junior,36,41,0.1,6,19,2,0
Pleno,37,42,0.41,5,2,2,0
Junior,27,42,0.37,4,20,2,0
Senior,20,51,0.13,3,3,1,0
Junior,27,40,0.39,5,10,5,0
Junior,34,42,0.57,5,9,3,0
Senior,36,54,0.42,9,12,1,1
Pleno,26,43,0.39,2,5,3,0
Junior,25,40,0.38,3,1,3,0
Pleno,33,40,0.43,7,0,4,0
Junior,34,51,0.11,3,17,1,0
Senior,23,48,0.33,4,6,3,0
Pleno,29,51,0.41,4,20,1,1
Pleno,22,47,0.34,7,11,3,1
Junior,20,41,0.25,3,0,5,0
Junior,20,39,0.1,4,1,5,0
Pleno,34,57,0.3,2,0,2,0
Pleno,30,44,0.51,6,14,4,0
Junior,28,54,0.41,3,29,1,1
Pleno,21,50,0.29,4,15,2,0
Pleno,24,40,0.32,6,0,5,0
Pleno,34,46,0.2,3,0,4,0
Pleno,26,47,0.38,12,21,3,1
Pleno,24,45,0.48,4,2,4,0
Pleno,40,43,0.53,7,36,4,1
Pleno,26,51,0.31,7,14,2,1
Pleno,34,41,0.19,5,22,1,0
Senior,29,42,0.52,2,3,5,0
Senior,32,48,0.18,6,6,3,0
Senior,36,48,0.23,8,0,5,0
Junior,27,46,0.5,9,13,2,1
Junior,21,50,0.14,2,0,5,0
Junior,32,49,0.41,5,17,1,1
Junior,27,40,0.53,2,6,5,0
Pleno,39,47,0.31,5,8,5,0
Junior,28,43,0.57,1,4,3,0
Pleno,25,43,0.42,4,5,1,0
Pleno,37,44,0.45,2,2,3,0
Pleno,31,44,0.16,6,7,2,0
Pleno,31,48,0.22,4,16,5,0
Junior,31,48,0.21,8,6,3,1
Senior,27,43,0.17,4,0,2,0
Junior,20,45,0.42,3,2,5,0
Junior,38,42,0.29,4,7,5,0
Pleno,26,47,0.15,10,9,2,1
Junior,20,42,0.25,6,4,5,0
Junior,38,51,0.14,5,10,4,0
Pleno,31,57,0.5,5,8,2,1
Junior,23,41,0.15,6,4,1,0
Junior,32,38,0.25,4,30,4,0
Junior,25,39,0.42,4,0,5,0
Pleno,42,45,0.49,1,24,5,0
Junior,30,43,0.39,6,2,3,0
Junior,22,42,0.38,3,9,4,0
Junior,20,41,0.54,6,5,2,1
Pleno,30,48,0.32,4,9,3,0
Junior,26,40,0.51,7,36,4,1
Pleno,35,49,0.43,5,5,2,1
Junior,31,45,0.45,3,2,3,0
Junior,36,44,0.57,8,14,1,1
Pleno,27,40,0.39,5,3,4,0
Pleno,27,48,0.4,5,0,5,0
Senior,40,51,0.57,4,36,5,0
Senior,28,54,0.49,6,8,4,1
Pleno,20,52,0.34,6,21,3,1
Pleno,38,38,0.23,4,5,2,0
Junior,34,42,0.24,3,17,1,0
Pleno,40,48,0.17,6,8,2,1
Senior,28,41,0.41,5,13,5,0
Pleno,34,45,0.33,3,0,4,0
Junior,26,46,0.34,8,6,1,1
Pleno,37,42,0.43,5,10,3,0
Pleno,20,47,0.15,4,11,4,0
Senior,33,48,0.29,6,7,4,0
Pleno,29,47,0.32,6,0,4,0
Pleno,29,49,0.38,1,7,2,0
Senior,33,51,0.45,5,7,5,0
Junior,25,41,0.22,5,0,1,0
Pleno,42,46,0.39,6,5,2,1
Junior,31,42,0.58,5,36,2,1
Junior,44,42,0.19,2,36,3,0
Senior,28,55,0.5,5,9,1,1
Junior,31,42,0.35,2,0,2,0
Senior,24,44,0.23,3,6,1,0
Pleno,35,44,0.2,5,11,5,0
Junior,28,40,0.3,6,1,2,0
Senior,31,54,0.57,2,16,1,1
Pleno,39,47,0.25,7,30,2,1
Junior,20,44,0.13,8,36,5,0
Junior,20,46,0.53,4,5,1,1
Junior,26,44,0.36,5,5,3,0
Senior,33,59,0.23,8,29,5,1
Pleno,28,37,0.55,6,0,4,0
Pleno,29,46,0.49,10,19,1,1
Pleno,38,41,0.1,3,8,1,0
Pleno,23,44,0.19,4,22,4,0
Senior,20,47,0.3,2,5,5,0
Junior,38,42,0.34,4,0,2,0
Senior,34,46,0.38,2,17,5,0
Junior,21,45,0.14,4,2,5,0
Pleno,29,48,0.43,1,1,3,0
Pleno,29,46,0.42,4,12,2,0
Pleno,22,45,0.29,4,0,4,0
Junior,27,40,0.53,7,15,4,0
Senior,30,54,0.42,4,8,2,1
Junior,32,40,0.46,3,4,3,0
Pleno,30,42,0.4,8,5,5,0
Junior,20,42,0.31,9,35,1,1
Senior,22,47,0.39,4,1,5,0
Pleno,32,46,0.42,5,33,4,0
Junior,36,48,0.44,5,4,1,1
Pleno,30,58,0.51,7,11,4,1
Pleno,34,41,0.56,5,21,3,0
Pleno,30,51,0.19,10,8,4,1
Junior,37,43,0.53,9,5,3,1
